a.C. ;Antes de Cristo
mod ;Moderno
Mús ;Música
Náut ;Náutica
neer ;Neerlandês
neg ;Negativo
neo-ár ;Neo-árico
neol ;Neologismo
N.G.B. ;Nomenclatura Gramatical Brasileira 
norm ;Normando
np ;Nome próprio
num ;Numeral
Numism ;Numismática
obs ;Observação
obsol ;Obsoleto
Obst ;Obstetrícia
Odont ;Odontologia
Oftalm ;Oftalmologia
onom ;Onomatopéia
Onomást ;Onomástico
Ópt ;Óptica
ord ;Ordinal
Ornit ;Ornitologia
Ort ;Ortografia, ortográfico
p ex ;Por exemplo
p us ;Pouco usado
Paleogr ;Paleografia
Paleont ;Paleontologia
Parapsicol ;Parapsicologia
Parôn ;Parônimo
part ;Particípio
part irreg ;Particípio irregular
Patol ;Patologia
Pec ;Pecuária
Pedag ;Pedagogia
pej ;Pejorativo
períf ;Perífrase
Petr ;Petrografia
Pint ;Pintura
pl ;Plural
poét ;Poético
Polít ;Política
pop ;Popular
por anal ;Por analogia
por ext ;Por extensão
port ;Português
pref ;Prefixo
prep ;Preposição
pres indic ;Presente do indicativo
pres subj ;Presente do subjuntivo
pret ;Pretérito
Proc dados ;Processamento de Dados
pron adj ;Pronome adjetivo
pron indef ;Pronome indefinido
pron pess ;Pronome pessoal
pron poss ;Pronome possessivo
pron subst ;Pronome substantivo
próp ;Próprio
Propag ;Propaganda
Psicol ;Psicologia
Psiq ;Psiquiatria
qual ;Qualificativo
Quím ;Químico
Rád ;Rádio
Radiotécn ;Radiotécnica
red ;Redução
Reg ;Regionalismo
Rel ;Religião
Ret ;Retórica
rom ;Romano
rus ;Russo
s m+f ;Substantivo masculino e feminino
sânsc ;Sânscrito
séc ;Século
seg ;Seguinte, seguido
Semiol ;Semiologia
Serralh ;Serralheria
sf ;Substantivo feminino
sign ;Significação
símb ;Símbolo, simbolismo
Sin ;Sinônimo
sing ;Singular
sm ;Substantivo masculino
Sociol ;Sociologia
subj ;Subjuntivo
suf ;Sufixo
sup abs sint ;Superlativo absoluto sintético
Taur ;Tauromaquia
Teat ;Teatro
Tecel ;Tecelagem
Tecn ;Tecnologia
Telecom ;Telecomunicação
Telev ;Televisão
Teol ;Teologia
Terat ;Teratologia
Tip ;Tipografia
top ;Topônimo
Topogr ;Topografia
trad ;Tradução
Trigon ;Trigonometria
tupi-guar ;Tupi-guarani
Urb ;Urbanismo
V ;Veja
v ;Verbo
Var ;Variante
